Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.727299999999999969e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000599861145019531e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.727299999999999969e+01,2.702799999999999869e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001000165939331055e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.727299999999999969e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.001196384429931641e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.722400000000000020e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.002176046371459961e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.732199999999999918e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.003059148788452148e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.717500000000000071e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.004383563995361328e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737000000000000099e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.004842758178710938e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.722400000000000020e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.005611181259155273e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.717500000000000071e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.006012201309204102e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737000000000000099e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000727534294128418e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.707700000000000173e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100763010978698730e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.717500000000000071e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200894474983215332e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.727299999999999969e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.300973653793334961e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.712600000000000122e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.401006269454956055e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.732199999999999918e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.501023983955383301e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.717500000000000071e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.601061344146728516e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.717500000000000071e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.701137113571166992e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.722400000000000020e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.801263260841369629e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.732199999999999918e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.901285195350646973e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.732199999999999918e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001390171051025391e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.722400000000000020e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.101460552215576172e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.727299999999999969e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.201528000831604004e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.741900000000000048e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.301620697975158691e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.746799999999999997e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.401720046997070312e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.741900000000000048e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.501770901679992676e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.732199999999999918e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.601851630210876465e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.746799999999999997e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.701946854591369629e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.746799999999999997e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.801979827880859375e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.751699999999999946e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.902036237716674805e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.741900000000000048e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.002134752273559570e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.756599999999999895e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.102265572547912598e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.756599999999999895e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.202340531349182129e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.751699999999999946e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.302428102493286133e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.761499999999999844e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.402520513534545898e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.771300000000000097e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.502554988861083984e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.785900000000000176e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.602644729614257812e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.771300000000000097e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.702748656272888184e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.771300000000000097e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.802808547019958496e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.776099999999999923e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.902856993675231934e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.795700000000000074e+01,2.658800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.002940440177917480e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.780999999999999872e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.103015685081481934e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.800600000000000023e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.203080320358276367e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.820100000000000051e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.303120374679565430e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.815200000000000102e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.403212952613830566e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.810399999999999920e+01,2.668599999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.503275728225708008e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.815200000000000102e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.603404498100280762e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.820100000000000051e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.703472352027893066e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.815200000000000102e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.803503847122192383e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.839699999999999847e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.903542542457580566e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.844600000000000151e+01,2.663700000000000045e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.003594422340393066e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.829899999999999949e+01,2.668599999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.103629684448242188e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.859199999999999875e+01,2.668599999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.203652858734130859e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.859199999999999875e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
