Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.059600000000000009e+01,2.971699999999999875e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.001190185546875000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.054700000000000060e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.002002477645874023e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.054700000000000060e+01,2.961899999999999977e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.003224372863769531e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.064499999999999957e+01,2.952100000000000080e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.004668951034545898e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.030300000000000082e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.005237102508544922e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.040099999999999980e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.006729602813720703e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.044999999999999929e+01,2.961899999999999977e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.007052898406982422e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.044999999999999929e+01,2.971699999999999875e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.008348941802978516e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.059600000000000009e+01,2.952100000000000080e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.009462833404541016e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.035200000000000031e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.001109290122985840e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.049899999999999878e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.101132369041442871e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.040099999999999980e+01,2.947200000000000131e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.201222658157348633e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.030300000000000082e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.301278042793273926e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.049899999999999878e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.401329231262207031e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.049899999999999878e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.501407289505004883e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.054700000000000060e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.601537346839904785e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.059600000000000009e+01,2.927700000000000102e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.701681184768676758e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.040099999999999980e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.801775741577148438e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.049899999999999878e+01,2.947200000000000131e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.901848793029785156e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.074299999999999855e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001946902275085449e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.044999999999999929e+01,2.947200000000000131e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.101995635032653809e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.064499999999999957e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.202140402793884277e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.049899999999999878e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.302171993255615234e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.044999999999999929e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.402205610275268555e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.064499999999999957e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.502250170707702637e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.074299999999999855e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.602327084541320801e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.064499999999999957e+01,2.947200000000000131e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.702456402778625488e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.079200000000000159e+01,2.942299999999999827e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.802517795562744141e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.054700000000000060e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.902641558647155762e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.064499999999999957e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.002729249000549316e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.079200000000000159e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.102828741073608398e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.084100000000000108e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.202850794792175293e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.103600000000000136e+01,2.947200000000000131e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.302951002120971680e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.108500000000000085e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.402962732315063477e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.089000000000000057e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.503033638000488281e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.108500000000000085e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.603160357475280762e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.118299999999999983e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.703224205970764160e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.098699999999999832e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.803321123123168945e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.108500000000000085e+01,2.927700000000000102e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.903418803215026855e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.108500000000000085e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.003459453582763672e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.123199999999999932e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.103550839424133301e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.137800000000000011e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.203594374656677246e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.132900000000000063e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.303631496429443359e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.142699999999999960e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.403720831871032715e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.137800000000000011e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.503819322586059570e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.137800000000000011e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.603928303718566895e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.147599999999999909e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.703978443145751953e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.152499999999999858e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.804063940048217773e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.167200000000000060e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.904186868667602539e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.157400000000000162e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.004251337051391602e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.167200000000000060e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.104329180717468262e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.162300000000000111e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.204386615753173828e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.167200000000000060e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.304453086853027344e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.181800000000000139e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.404545903205871582e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.196499999999999986e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.504651260375976562e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.191600000000000037e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.604739403724670410e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.186700000000000088e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.704853558540344238e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.191600000000000037e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.804962015151977539e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.191600000000000037e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.904998755455017090e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.206300000000000239e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.005106902122497559e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.206300000000000239e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.105249738693237305e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.215999999999999659e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.205276274681091309e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.240500000000000114e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.305382370948791504e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.225800000000000267e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.405460405349731445e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.235600000000000165e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.505514931678771973e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.240500000000000114e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.605623030662536621e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.235600000000000165e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.705748820304870605e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.260000000000000142e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.805846214294433594e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.264900000000000091e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.905948209762573242e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.279599999999999937e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.006000924110412598e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.269800000000000040e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.106045436859130859e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.274699999999999989e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.206097364425659180e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.289300000000000068e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.306134867668151855e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.294200000000000017e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.406164622306823730e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.294200000000000017e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.506198692321777344e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.308899999999999864e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.606243491172790527e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.323599999999999710e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.706286430358886719e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.318699999999999761e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.806360363960266113e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.338199999999999790e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.906436538696289062e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.338199999999999790e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.006562590599060059e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.347999999999999687e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.106624627113342285e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.347999999999999687e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.206786537170410156e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.357800000000000296e+01,2.878800000000000026e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.306848001480102539e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.352900000000000347e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.406888318061828613e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.362700000000000244e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.506973648071289062e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.357800000000000296e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.607062911987304688e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.372399999999999665e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.707122445106506348e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.392000000000000171e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.807180047035217285e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.387100000000000222e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.907266926765441895e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.387100000000000222e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.007366657257080078e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.396900000000000119e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
